n_components;n_neighbors;min_cluster_size;min_dist;coherence;diversity;score;n_topics;topic0_count
2;14;11;0,1;0,377562717;0,67826087;0,256086017;69;323
2;15;13;0,1;0,325477077;0,78490566;0,2554688;53;331
2;17;15;0,5;0,388591357;0,657142857;0,255360035;7;4752
2;16;19;0,1;0,417599512;0,611111111;0,255199701;9;4517
2;16;18;0,1;0,417599512;0,611111111;0,255199701;9;4517
2;14;18;0,3;0,407953942;0,625;0,254971214;8;4707
4;19;13;0,1;0,424646736;0,6;0,254788041;11;4518
2;14;17;0,1;0,383403219;0,664;0,254579737;25;2824
3;10;14;0,1;0,365141715;0,695833333;0,254077777;48;362
2;14;10;0,1;0,351388048;0,722891566;0,254015457;83;343
2;14;18;0,1;0,38248893;0,664;0,25397265;25;2805
3;18;12;0,3;0,41396694;0,6125;0,253554751;8;4696
2;18;10;0,5;0,400310666;0,633333333;0,253530089;9;4693
4;13;17;0,1;0,343895836;0,737142857;0,253500359;35;699
3;16;10;0,1;0,371814303;0,680952381;0,253187835;63;395
3;18;10;0,1;0,456610861;0,553846154;0,252892169;13;4518
3;18;11;0,1;0,456610861;0,553846154;0,252892169;13;4518
4;14;10;0,1;0,390321351;0,647761194;0,252835025;67;326
3;16;16;0,1;0,443451766;0,57;0,252767506;10;4518
3;14;16;0,1;0,428337227;0,59;0,252718964;10;4517
3;14;15;0,1;0,428337227;0,59;0,252718964;10;4517
3;14;17;0,1;0,428337227;0,59;0,252718964;10;4517
3;14;18;0,1;0,428337227;0,59;0,252718964;10;4517
3;14;19;0,1;0,428337227;0,59;0,252718964;10;4517
2;14;13;0,1;0,338547102;0,746153846;0,252608222;52;331
2;19;10;0,3;0,398314253;0,633333333;0,252265694;9;4696
4;14;14;0,1;0,452953603;0,55625;0,251955442;16;3973
3;13;15;0,1;0,333154346;0,755;0,251531531;40;198
4;13;16;0,1;0,439036443;0,572727273;0,251448144;11;4528
3;14;17;0,3;0,394167182;0,6375;0,251281578;8;4708
4;11;14;0,1;0,365451565;0,686046512;0,250716772;43;383
2;12;10;0,1;0,340664256;0,735106383;0,250424469;94;203
4;11;10;0,1;0,374053779;0,669354839;0,250374707;62;466
3;14;11;0,1;0,377657275;0,6625;0,250197945;64;312
3;10;15;0,1;0,341749064;0,731818182;0,250098179;44;487
3;16;15;0,1;0,328966366;0,76;0,250014438;40;374
3;12;11;0,1;0,391423264;0,638461538;0,249908699;65;507
2;14;16;0,1;0,33209201;0,751219512;0,249473998;41;343
4;11;11;0,5;0,372311742;0,67;0,249448867;10;4675
2;12;11;0,3;0,474825372;0,525;0,24928332;16;4422
2;14;17;0,3;0,398778602;0,625;0,249236627;8;4707
2;14;16;0,3;0,398778602;0,625;0,249236627;8;4707
2;11;14;0,1;0,428539347;0,581578947;0,249229462;38;2924
2;13;15;0,1;0,420388598;0,591666667;0,248729921;12;4481
2;13;19;0,1;0,420388598;0,591666667;0,248729921;12;4480
2;13;16;0,1;0,420388598;0,591666667;0,248729921;12;4481
4;17;11;0,5;0,382440618;0,65;0,248586402;10;4689
4;17;11;0,3;0,382440618;0,65;0,248586402;10;4697
3;19;10;0,1;0,41972999;0,591666667;0,248340244;12;4518
2;12;16;0,1;0,422948314;0,586956522;0,248252271;23;3228
4;11;16;0,1;0,354511821;0,7;0,248158274;36;613
2;18;11;0,3;0,413253461;0,6;0,247952077;8;4708
3;13;14;0,5;0,413253461;0,6;0,247952077;8;4709
4;12;16;0,5;0,413253461;0,6;0,247952077;8;4709
4;12;15;0,5;0,413253461;0,6;0,247952077;8;4709
4;12;17;0,5;0,413253461;0,6;0,247952077;8;4709
2;16;17;0,1;0,410809141;0,6;0,246485485;9;4525
4;14;12;0,1;0,375762341;0,655769231;0,246413382;52;569
2;17;16;0,5;0,382648072;0,642857143;0,245988047;7;4752
4;16;14;0,1;0,431542726;0,57;0,245979354;10;4688
4;16;13;0,1;0,431542726;0,57;0,245979354;10;4688
4;16;12;0,1;0,431542726;0,57;0,245979354;10;4688
2;18;14;0,1;0,36577381;0,672413793;0,245951355;29;2848
3;18;11;0,3;0,387763887;0,633333333;0,245583795;9;4696
3;18;10;0,3;0,387763887;0,633333333;0,245583795;9;4696
